ref,from,to,via,intermediates,opening-hours,exceptions,duration,intermediate-durations,frequency
L2,TEG (Tirana East Gate),Barrikadat,Sauk i Vjetër;Kopshti Zoologjik,,Mo-Sa 06:15-18:55|19:25,,30,,60
L2,Shkencat e Natyrës,TEG (Tirana East Gate),Kopshti Zoologjik;Sauk i Vjetër,,Mo-Sa 05:40-18:20;Mo-Sa 18:50,,35,,60
