ref,from,to,via,intermediates,opening-hours,exceptions,duration,intermediate-durations,frequency
1A,Aeroporti Ndërkombëtar i Prishtinës,Stacioni i Autobusëve në Prishtinë,Rrethi Fushë Kosovë;Sllatinë (mbi rrethrrotullim),Rrethi Fushë Kosovë;Sllatinë (mbi rrethrrotullim),Mo-Sa 05:40-18:20;Mo-Sa 18:50,,35,10;10,10
1A,Stacioni i Autobusëve në Prishtinë,Aeroporti Ndërkombëtar i Prishtinës,Sllatinë (mbi rrethrrotullim);Rrethi Fushë Kosovë,Sllatinë (mbi rrethrrotullim);Rrethi Fushë Kosovë,Mo-Sa 05:40-18:20;Mo-Sa 18:50,,35,10;10,10
